Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
SEA,09/04/2014,GB,53%,0.0,"Seattle, Washington",CenturyLink Field,Fieldturf,GB_SEA,70f.,10mi,Fair,5mi
ATL,09/07/2014,NO,67%,0.0,"Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_NO,83f.,10mi,Thunderstorm,6mi
CHI,09/07/2014,BUF,39%,0.0,"Chicago, Illinois",Soldier Field,Grass,BUF_CHI,77f.,10mi,Partly Cloudy,7mi
KC,09/07/2014,TEN,45%,0.0,"Kansas City, Missouri",Arrowhead Stadium,Grass,KC_TEN,77f.,10mi,Fair,5mi
LA,09/07/2014,MIN,40%,0.0,"St. Louis, Missouri",Edward Jones Dome,Fieldturf,LA_MIN,76f.,10mi,Fair,6mi
MIA,09/07/2014,NE,57%,0.0,"Miami Gardens, Florida",Hard Rock Stadium,Grass,MIA_NE,89f.,10mi,Fair,13mi
NYJ,09/07/2014,OAK,41%,0.0,"Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYJ_OAK,80f.,10mi,Partly Cloudy,3mi
PHI,09/07/2014,JAX,41%,0.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,JAX_PHI,80f.,10mi,Partly Cloudy,6mi
PIT,09/07/2014,CLE,44%,0.0,"Pittsburgh, Pennsylvania",Heinz Field,Desso,CLE_PIT,72f.,10mi,A Few Clouds,6mi
BAL,09/07/2014,CIN,39%,0.0,"Baltimore, Maryland",M&T Bank Stadium,419,BAL_CIN,78f.,0mi,Mostly Cloudy,0mi
HOU,09/07/2014,WAS,74%,0.0,"Houston, Texas",NRG Stadium,Grass,HOU_WAS,82f.,10mi,Thunderstorm,12mi
TB,09/07/2014,CAR,77%,0.0,"Tampa, Florida",Raymond James Stadium,Grass,CAR_TB,79f.,10mi,Overcast,7mi
DAL,09/07/2014,SF,51%,0.0,"Arlington, Texas",AT&T Stadium,RealGrass,DAL_SF,84f.,10mi,Partly Cloudy,0mi
DEN,09/07/2014,IND,33%,0.0,"Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_IND,70f.,30mi,Partly Cloudy,6mi
DET,09/08/2014,NYG,78%,0.0,"Detroit, Michigan",Ford Field,Fieldturf,DET_NYG,68f.,10mi,Fair,3mi
ARI,09/08/2014,LAC,70%,0.0,"Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_LAC,84f.,20mi,Mostly Cloudy,4mi
BAL,09/11/2014,PIT,62%,0.0,"Baltimore, Maryland",M&T Bank Stadium,419,BAL_PIT,80f.,0mi,Mostly Cloudy,0mi
BUF,09/14/2014,MIA,41%,0.0,"Orchard Park, New York",New Era Field,A-Turf,BUF_MIA,61f.,10mi,Mostly Cloudy,4mi
CIN,09/14/2014,ATL,47%,0.0,"Cincinnati, Ohio",Paul Brown Stadium,-,ATL_CIN,68f.,10mi,A Few Clouds,4mi
CLE,09/14/2014,NO,56%,0.0,"Cleveland, Ohio",FirstEnergy Stadium,Kentucky,CLE_NO,62f.,10mi,Mostly Cloudy,5mi
TEN,09/14/2014,DAL,50%,0.0,"Nashville, Tennessee",Nissan Stadium,419,DAL_TEN,77f.,10mi,Mostly Cloudy,6mi
MIN,09/14/2014,NE,39%,0.0,"Minneapolis, Minnesota",TCF Bank Stadium,FieldTurf,MIN_NE,65f.,10mi,Mostly Cloudy,11mi
NYG,09/14/2014,ARI,34%,0.0,"Rutherford, New Jersey",MetLife Stadium,Fieldturf,ARI_NYG,71f.,10mi,Fair,5mi
WAS,09/14/2014,JAX,50%,0.0,"Landover, Maryland",FedExField,Grass,JAX_WAS,67f.,10mi,Fair,4mi
CAR,09/14/2014,DET,70%,0.0,"Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_DET,68f.,10mi,Overcast,7mi
LAC,09/14/2014,SEA,61%,0.0,"San Diego, California",Qualcomm Stadium,Grass,LAC_SEA,85f.,0mi,Sunny,6mi
TB,09/14/2014,LA,82%,0.0,"Tampa, Florida",Raymond James Stadium,Grass,LA_TB,78f.,10mi,Mostly Cloudy,0mi
DEN,09/14/2014,KC,20%,0.0,"Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_KC,82f.,50mi,Showers in Vicinity,14mi
GB,09/14/2014,NYJ,56%,0.0,"Green Bay, Wisconsin",Lambeau Field,Desso,GB_NYJ,63f.,10mi,Fair,11mi
OAK,09/14/2014,HOU,55%,0.0,"Oakland, California",Oakland Coliseum,Bluegrass,HOU_OAK,73f.,10mi,A Few Clouds,10mi
SF,09/14/2014,CHI,50%,0.0,"Santa Clara, California",Levi's Stadium,Bermuda,CHI_SF,73f.,10mi,A Few Clouds,9mi
IND,09/15/2014,PHI,93%,0.0,"Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_PHI,57f.,3mi,Light Drizzle Fog/Mist,6mi
ATL,09/18/2014,TB,74%,0.0,"Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_TB,73f.,10mi,Mostly Cloudy,3mi
BUF,09/21/2014,LAC,66%,0.0,"Orchard Park, New York",New Era Field,A-Turf,BUF_LAC,72f.,10mi,Partly Cloudy,16mi
CIN,09/21/2014,TEN,30%,0.0,"Cincinnati, Ohio",Paul Brown Stadium,-,CIN_TEN,79f.,10mi,Fair,14mi
CLE,09/21/2014,BAL,61%,0.0,"Cleveland, Ohio",FirstEnergy Stadium,Kentucky,BAL_CLE,69f.,10mi,Partly Cloudy and Breezy,19mi
DET,09/21/2014,GB,68%,0.0,"Detroit, Michigan",Ford Field,Fieldturf,DET_GB,64f.,10mi,Overcast,6mi
LA,09/21/2014,DAL,37%,0.0,"St. Louis, Missouri",Edward Jones Dome,Fieldturf,DAL_LA,78f.,10mi,A Few Clouds,15mi
NE,09/21/2014,OAK,71%,0.0,"Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_OAK,78f.,10mi,A Few Clouds,7mi
NO,09/21/2014,MIN,53%,0.0,"New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,MIN_NO,87f.,10mi,Partly Cloudy,11mi
NYG,09/21/2014,HOU,72%,0.0,"Rutherford, New Jersey",MetLife Stadium,Fieldturf,HOU_NYG,76f.,5mi,Fog/Mist,0mi
PHI,09/21/2014,WAS,72%,0.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,PHI_WAS,76f.,10mi,Mostly Cloudy,4mi
JAX,09/21/2014,IND,42%,0.0,"Jacksonville, Florida",EverBank Field,419,IND_JAX,85f.,10mi,Fair,5mi
ARI,09/21/2014,SF,22%,0.0,"Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_SF,97f.,20mi,Partly Cloudy,3mi
MIA,09/21/2014,KC,70%,0.0,"Miami Gardens, Florida",Hard Rock Stadium,Grass,KC_MIA,84f.,10mi,Fair,8mi
SEA,09/21/2014,DEN,41%,0.0,"Seattle, Washington",CenturyLink Field,Fieldturf,DEN_SEA,83f.,10mi,Fair,6mi
CAR,09/21/2014,PIT,71%,0.0,"Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_PIT,74f.,10mi,Overcast,3mi
NYJ,09/22/2014,CHI,51%,0.0,"Rutherford, New Jersey",MetLife Stadium,Fieldturf,CHI_NYJ,56f.,10mi,Fair,4mi
WAS,09/25/2014,NYG,88%,0.0,"Landover, Maryland",FedExField,Grass,NYG_WAS,63f.,10mi,Overcast,7mi
CHI,09/28/2014,GB,45%,0.0,"Chicago, Illinois",Soldier Field,Grass,CHI_GB,78f.,10mi,Mostly Cloudy,6mi
IND,09/28/2014,TEN,37%,0.0,"Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_TEN,81f.,10mi,Partly Cloudy,0mi
OAK,09/28/2014,MIA,88%,0.0,"London, London",Wembley Stadium,Desso,MIA_OAK,68f.,,Partly Cloudy,
NYJ,09/28/2014,DET,37%,0.0,"Rutherford, New Jersey",MetLife Stadium,Fieldturf,DET_NYJ,85f.,10mi,Fair,6mi
PIT,09/28/2014,TB,48%,0.0,"Pittsburgh, Pennsylvania",Heinz Field,Desso,PIT_TB,73f.,10mi,Fair,6mi
BAL,09/28/2014,CAR,50%,0.0,"Baltimore, Maryland",M&T Bank Stadium,419,BAL_CAR,79f.,0mi,Partly Cloudy,0mi
HOU,09/28/2014,BUF,63%,0.0,"Houston, Texas",NRG Stadium,Grass,BUF_HOU,86f.,10mi,Mostly Cloudy,4mi
LAC,09/28/2014,JAX,62%,0.0,"San Diego, California",Qualcomm Stadium,Grass,JAX_LAC,72f.,0mi,NA,7mi
MIN,09/28/2014,ATL,41%,0.0,"Minneapolis, Minnesota",TCF Bank Stadium,FieldTurf,ATL_MIN,80f.,10mi,Partly Cloudy,8mi
SF,09/28/2014,PHI,48%,0.0,"Santa Clara, California",Levi's Stadium,Bermuda,PHI_SF,75f.,10mi,Mostly Cloudy,7mi
DAL,09/28/2014,NO,47%,0.0,"Arlington, Texas",AT&T Stadium,RealGrass,DAL_NO,79f.,10mi,Fair,3mi
KC,09/29/2014,NE,66%,0.0,"Kansas City, Missouri",Arrowhead Stadium,Grass,KC_NE,72f.,10mi,Fair,3mi
GB,10/02/2014,MIN,97%,0.0,"Green Bay, Wisconsin",Lambeau Field,Desso,GB_MIN,63f.,3mi,Fog/Mist,7mi
DAL,10/05/2014,HOU,48%,0.0,"Arlington, Texas",AT&T Stadium,RealGrass,DAL_HOU,81f.,10mi,Clear,0mi
DET,10/05/2014,BUF,47%,0.0,"Detroit, Michigan",Ford Field,Fieldturf,BUF_DET,53f.,10mi,Overcast,11mi
TEN,10/05/2014,CLE,34%,0.0,"Nashville, Tennessee",Nissan Stadium,419,CLE_TEN,71f.,10mi,Mostly Cloudy,13mi
IND,10/05/2014,BAL,44%,0.0,"Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,BAL_IND,57f.,10mi,Overcast and Breezy,19mi
NO,10/05/2014,TB,39%,0.0,"New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,NO_TB,77f.,10mi,A Few Clouds,5mi
NYG,10/05/2014,ATL,35%,0.0,"Rutherford, New Jersey",MetLife Stadium,Fieldturf,ATL_NYG,61f.,10mi,Fair,6mi
PHI,10/05/2014,LA,38%,0.0,"Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,LA_PHI,60f.,10mi,Partly Cloudy,6mi
CAR,10/05/2014,CHI,30%,0.0,"Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_CHI,63f.,10mi,A Few Clouds,7mi
