Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
DEN,09/08/2016,CAR,26%,0.0,"Denver, Colorado",Q2,Grass,CAR_DEN,73f.,7mi,Clear,1mi
ATL,09/11/2016,TB,49%,0.0,"Atlanta, Georgia",Q2,Fieldturf,ATL_TB,89f.,7mi,Clear,5mi
TEN,09/11/2016,MIN,48%,0.0,"Nashville, Tennessee",Q2,419,MIN_TEN,80f.,10mi,Clear,5mi
PHI,09/11/2016,CLE,41%,0.0,"Philadelphia, Pennsylvania",Q2,Desso,CLE_PHI,84f.,10mi,Clear,7mi
NYJ,09/11/2016,CIN,44%,0.0,"Rutherford, New Jersey",Q2,Fieldturf,CIN_NYJ,82f.,10mi,Partly Cloudy,7mi
NO,09/11/2016,OAK,68%,0.0,"New Orleans, Louisiana",Q2,Fieldturf,NO_OAK,87f.,9mi,Partly Cloudy,3mi
KC,09/11/2016,LAC,52%,0.0,"Kansas City, Missouri",Q2,Grass,KC_LAC,76f.,10mi,Clear,8mi
BAL,09/11/2016,BUF,43%,0.0,"Baltimore, Maryland",Q2,419,BAL_BUF,84f.,10mi,Partly Cloudy,6mi
HOU,09/11/2016,CHI,62%,0.0,"Houston, Texas",Q2,Grass,CHI_HOU,89f.,10mi,Clear,1mi
JAX,09/11/2016,GB,54%,0.0,"Jacksonville, Florida",Q2,419,GB_JAX,92f.,10mi,Partly Cloudy,2mi
SEA,09/11/2016,MIA,54%,0.0,"Seattle, Washington",Q2,Fieldturf,MIA_SEA,66f.,8mi,Partly Cloudy,4mi
DAL,09/11/2016,NYG,36%,0.0,"Arlington, Texas",Q2,RealGrass,DAL_NYG,87f.,10mi,Clear,1mi
IND,09/11/2016,DET,48%,0.0,"Indianapolis, Indiana",Q2,Fieldturf,DET_IND,72f.,10mi,Partly Cloudy,1mi
ARI,09/11/2016,NE,20%,0.0,"Glendale, Arizona",Q2,Grass,ARI_NE,95f.,10mi,Clear,4mi
WAS,09/12/2016,PIT,68%,0.0,"Landover, Maryland",Q2,Grass,PIT_WAS,71f.,10mi,Clear,3mi
SF,09/12/2016,LA,74%,0.0,"Santa Clara, California",Q2,Bermuda,LA_SF,56f.,9mi,Clear,3mi
BUF,09/15/2016,NYJ,87%,0.0,"Orchard Park, New York",Q2,A-Turf,BUF_NYJ,50f.,7mi,Clear,3mi
CAR,09/18/2016,SF,53%,0.0,"Charlotte, North Carolina",Q2,Grass,CAR_SF,87f.,10mi,Partly Cloudy,2mi
WAS,09/18/2016,DAL,55%,0.0,"Landover, Maryland",Q2,Grass,DAL_WAS,88f.,10mi,Clear,6mi
