SeasonYear,OffenseTeam,Coach,Offensive_coordinator,Offensive_scheme
2013,CAR,Ron Rivera,Mike Shula,Erhardt-Perkins
2013,NYG,Tom Coughlin,Kevin Gilbride,Erhardt-Perkins
2013,HOU,Vance Joseph,Rick Dennison,West Coast
2013,TB,Greg Schiano,Mike Sullivan,Balanced
2013,MIA,Lou Anarumo,Mike Sherman,West Coast
2013,ARI,Bruce Arians,Harold Goodwin,Air Coryell
2013,CIN,Paul Guenther,Jay Gruden,West Coast
2013,KC,Andy Reid,Doug Pederson,West Coast
2013,JAX,Jerry Sullivan,Jedd Fisch,West Coast
2013,OAK,Dennis Allen,Greg Olson,West Coast
2013,NE,Bill Belichick,Josh McDaniels,Erhardt-Perkins
2013,WAS,Mike Shanahan,Kyle Shanahan,West Coast
2013,DAL,Jason Garrett,Bill Callahan,Air Coryell
2013,NYJ,Rex Ryan,Marty Mornhinweg,West Coast
2013,BAL,Teryl Austin,Jim Caldwell,Air Coryell
2013,IND,Clyde Christensen,Pep Hamilton,West Coast
2013,GB,Edgar Bennett,Tom Clements,West Coast
2013,TEN,Mike Munchak,Dowell Loggains,Balanced
2013,DEN,John Fox,Adam Gase,Erhardt-Perkins
2013,MIN,Leslie Frazier,Bill Musgrave,West Coast
2013,CHI,Marc Trestman,Aaron Kromer,West Coast
2013,ATL,Mike Smith,Dirk Koetter,Air Coryell
2013,NO,Sean Payton,Pete Carmichael,Air Coryell
2013,SEA,John Schneider,Darrell Bevell,West Coast
2013,LA,Les Snead,Brian Schottenheimer,Air Coryell
2013,LAC,Mike McCoy,Ken Whisenhunt,Erhardt-Perkins
2013,SF,Jim Harbaugh,Greg Roman,West Coast
2013,DET,Jim Schwartz,Scott Linehan,Air Coryell
2013,CLE,Rob Chudzinski,Norv Turner,Air Coryell
2013,BUF,Doug Marrone,Nathaniel Hackett,Air Coryell
2013,PHI,Bill Lazor,Pat Shurmur,Spread
2013,PIT,Mike Tomlin,Todd Haley,Erhardt-Perkins
2014,CAR,Ron Rivera,Mike Shula,Erhardt-Perkins
2014,NYG,Tom Coughlin,Ben McAdoo,West Coast
2014,HOU,Bill O'Brien,Bill O'Brien,Spread
2014,TB,Lovie Smith,Jeff Tedford,Spread
2014,MIA,Lou Anarumo,Bill Lazor,Spread
2014,ARI,Bruce Arians,Harold Goodwin,Air Coryell
2014,CIN,Matt Burke,Hue Jackson,West Coast
2014,KC,Andy Reid,Doug Pederson,West Coast
2014,JAX,Robert Saleh,Jedd Fisch,West Coast
2014,OAK,Dennis Allen,Greg Olson,West Coast
2014,NE,Bill Belichick,Josh McDaniels,Erhardt-Perkins
2014,WAS,Jay Gruden,Sean McVay,West Coast
2014,DAL,Jason Garrett,Bill Callahan,Air Coryell
2014,NYJ,Rex Ryan,Marty Mornhinweg,West Coast
2014,BAL,Juan Castillo,Gary Kubiak,West Coast
2014,IND,Clyde Christensen,Pep Hamilton,West Coast
2014,GB,Mike McCarthy,Tom Clements,West Coast
2014,TEN,Ken Whisenhunt,Jason Michael,Erhardt-Perkins
2014,DEN,John Fox,Adam Gase,Erhardt-Perkins
2014,MIN,Mike Zimmer,Norv Turner,Air Coryell
2014,CHI,Marc Trestman,Aaron Kromer,West Coast
2014,ATL,Mike Smith,Dirk Koetter,Air Coryell
2014,NO,Sean Payton,Pete Carmichael,Air Coryell
2014,SEA,John Schneider,Darrell Bevell,West Coast
2014,LA,Jeff Fisher,Brian Schottenheimer,Air Coryell
2014,LAC,Mike McCoy,Frank Reich,Erhardt-Perkins
2014,SF,Jim Harbaugh,Greg Roman,West Coast
2014,DET,Jim Bob Cooter,Joe Lombardi,Air Coryell
