SeasonYear,DefenseTeam,Defensive_coordinator,Defensive_alignment
2013,CAR,Sean McDermott,4-3
2013,NYG,Perry Fewell,4-3
2013,HOU,Wade Phillips,3-4
2013,TB,Bill Sheridan,4-3
2013,MIA,Kevin Coyle,4-3
2013,ARI,Todd Bowles,3-4
2013,CIN,Mike Zimmer,4-3
2013,KC,Bob Sutton,3-4
2013,JAX,Bob Babich,4-3
2013,OAK,Jason Tarver,4-3
2013,NE,Matt Patricia,4-3
2013,WAS,Jim Haslett,3-4
2013,DAL,Monte Kiffin,4-3
2013,NYJ,Dennis Thurman,3-4
2013,BAL,Dean Pees,3-4
2013,IND,Greg Manusky,3-4
2013,GB,Dom Capers,3-4
2013,TEN,Jerry Gray,4-3
2013,DEN,Jack Del Rio,4-3
2013,MIN,Alan Williams,4-3
2013,CHI,Mel Tucker,4-3
2013,ATL,Mike Nolan,4-3
2013,NO,Rob Ryan,3-4
2013,SEA,Dan Quinn,4-3
2013,LA,Tim Walton,4-3
2013,LAC,John Pagano,3-4
2013,SF,Vic Fangio,3-4
2013,DET,Gunther Cunningham,4-3
2013,CLE,Ray Horton,3-4
2013,BUF,Mike Pettine,3-4
2013,PHI,Bill Davis,3-4
2013,PIT,Dick LeBeau,3-4
2014,CAR,Sean McDermott,4-3
2014,NYG,Perry Fewell,4-3
2014,HOU,Romeo Crennel,3-4
2014,TB,Leslie Frazier,4-3
2014,MIA,Kevin Coyle,4-3
2014,ARI,Todd Bowles,3-4
2014,CIN,Paul Guenther,4-3
2014,KC,Bob Sutton,3-4
2014,JAX,Bob Babich,4-3
2014,OAK,Jason Tarver,4-3
2014,NE,Matt Patricia,4-3
2014,WAS,Jim Haslett,3-4
2014,DAL,Rod Marinelli,4-3
2014,NYJ,Dennis Thurman,3-4
2014,BAL,Dean Pees,3-4
2014,IND,Greg Manusky,3-4
2014,GB,Dom Capers,3-4
2014,TEN,Ray Horton,3-4
2014,DEN,Jack Del Rio,4-3
2014,MIN,George Edwards,4-3
2014,CHI,Mel Tucker,4-3
2014,ATL,Mike Nolan,3-4
2014,NO,Rob Ryan,3-4
2014,SEA,Dan Quinn,4-3
2014,LA,Gregg Williams,4-3
2014,LAC,John Pagano,3-4
2014,SF,Vic Fangio,3-4
2014,DET,Teryl Austin,4-3
2014,CLE,Jim O'Neil,3-4
2014,BUF,Jim Schwartz,4-3
2014,PHI,Bill Davis,3-4
2014,PIT,Dick LeBeau,3-4
2015,CAR,Sean McDermott,4-3
2015,NYG,Steve Spagnuolo,4-3
2015,HOU,Romeo Crennel,3-4
2015,TB,Leslie Frazier,4-3
