away_qb,away_rb,away_score,away_team,away_team_wins,description,down,gameDate,gameTime,home_qb,home_rb,home_score,home_team,home_team_wins,offenseTeam,quarter,seasonYear,stadium,to_go,week,yard_line
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,"Stephen Gostkowski kicks off 65 yards, touchback",,"September 10th, 2015",15:00,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,,1,NWE 35
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,DeAngelo Williams right tackle for 18 yards (tackle by Dont'a Hightower),1,"September 10th, 2015",15:00,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,10,1,PIT 20
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards (tackle by Dont'a Hightower),1,"September 10th, 2015",14:21,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,10,1,PIT 38
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,DeAngelo Williams right guard for 4 yards (tackle by Jamie Collins and Malcom Brown),2,"September 10th, 2015",14:04,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,1,1,PIT 47
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,Ben Roethlisberger pass complete short right to Heath Miller for 14 yards (tackle by Jerod Mayo),1,"September 10th, 2015",13:26,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,10,1,NWE 49
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,DeAngelo Williams right guard for 11 yards (tackle by Jamie Collins),1,"September 10th, 2015",12:42,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,10,1,NWE 35
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,Antonio Brown sacked by Malcom Brown for -8 yards,1,"September 10th, 2015",12:05,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,10,1,NWE 24
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,"DeAngelo Williams right end for 4 yards (tackle by Dont'a Hightower). Penalty on Marcus Gilbert: Offensive Holding, 10 yards (no play)",2,"September 10th, 2015",11:20,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,18,1,NWE 32
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,Will Johnson right guard for 6 yards (tackle by Rob Ninkovich),2,"September 10th, 2015",10:53,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,28,1,NWE 42
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,Ben Roethlisberger pass complete short right to Heath Miller for 10 yards (tackle by Patrick Chung and Malcolm Butler),3,"September 10th, 2015",10:28,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,22,1,NWE 36
Ben Roethlisberger,DeAngelo Williams,0,Pittsburgh Steelers,0,Josh Scobee 44 yard field goal no good,4,"September 10th, 2015",9:44,Tom Brady,Dion Lewis,0,New England Patriots,1,Pittsburgh Steelers,1,2017,Gillette Stadium,12,1,NWE 26
