Away_team,GameDate,Home_team,Humidity,IsPlayoffs,Location,Stadium,Surface,Team1_Team2,Temperature,Visibility,Weather_cat,Wind
DEN,9/5/13,BAL,30%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,BAL_DEN,81,50,Mostly Cloudy,3
BUF,9/8/13,NE,49%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_NE,65,10,Partly Cloudy,6
CHI,9/8/13,CIN,69%,0," Chicago, Illinois",Soldier Field,Grass,CHI_CIN,77,10,Mostly Cloudy,13
CLE,9/8/13,MIA,68%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_MIA,72,10,Partly Cloudy,16
NO,9/8/13,ATL,52%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,ATL_NO,90,10,Partly Cloudy,9
NYJ,9/8/13,TB,40%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYJ_TB,82,10,Partly Cloudy,14
PIT,9/8/13,TEN,74%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,PIT_TEN,74,9,Mostly Cloudy,5
DET,9/8/13,MIN,46%,0," Detroit, Michigan",Ford Field,Fieldturf,DET_MIN,72,10,Fair,8
IND,9/8/13,OAK,46%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_OAK,86,10,Mostly Cloudy,5
CAR,9/8/13,SEA,40%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_SEA,87,10,Mostly Cloudy,5
JAX,9/8/13,KC,50%,0," Jacksonville, Florida",EverBank Field,,JAX_KC,87,10,A Few Clouds,10
LA,9/8/13,ARI,70%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,ARI_LA,83,9,Mostly Cloudy,7
SF,9/8/13,GB,70%,0," San Francisco, California",Candlestick Park,Kentucky,GB_SF,66,0,NA,0
DAL,9/8/13,NYG,40%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_NYG,86,10,Fair,3
WAS,9/9/13,PHI,78%,0," Landover, Maryland",FedExField,Grass,PHI_WAS,72,10,Mostly Cloudy,4
LAC,9/9/13,HOU,86%,0," San Diego, California",Qualcomm Stadium,Grass,HOU_LAC,66,0,NA,3
NE,9/12/13,NYJ,91%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_NYJ,72,2,Thunderstorm Rain Fog/Mist,4
ATL,9/15/13,LA,61%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_LA,81,10,Mostly Cloudy,0
BUF,9/15/13,CAR,54%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_CAR,66,10,Mostly Cloudy,10
CHI,9/15/13,MIN,73%,0," Chicago, Illinois",Soldier Field,Grass,CHI_MIN,62,10,Light Rain,0
GB,9/15/13,WAS,78%,0," Green Bay, Wisconsin",Lambeau Field,Desso,GB_WAS,62,10,Overcast,3
IND,9/15/13,MIA,36%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_MIA,76,10,Overcast,12
KC,9/15/13,DAL,58%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,DAL_KC,79,10,A Few Clouds,3
BAL,9/15/13,CLE,37%,0," Baltimore, Maryland",M&T Bank Stadium,,BAL_CLE,78,0,Partly Cloudy,0
HOU,9/15/13,TEN,54%,0," Houston, Texas",NRG Stadium,Grass,HOU_TEN,91,10,Mostly Cloudy,9
PHI,9/15/13,LAC,40%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,LAC_PHI,72,10,Mostly Cloudy,7
ARI,9/15/13,DET,21%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_DET,102,20,A Few Clouds,4
TB,9/15/13,NO,84%,0," Tampa, Florida",Raymond James Stadium,Grass,NO_TB,75,10,Overcast,7
OAK,9/15/13,JAX,64%,0," Oakland, California",Oakland Coliseum,Bluegrass,JAX_OAK,72,10,Fair,9
NYG,9/15/13,DEN,44%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,DEN_NYG,67,10,Fair,3
SEA,9/15/13,SF,84%,0," Seattle, Washington",CenturyLink Field,Fieldturf,SEA_SF,64,6,"Thunder, Lt Rain",6
CIN,9/16/13,PIT,87%,0," Cincinnati, Ohio",Paul Brown Stadium,,CIN_PIT,58,10,Fair,3
PHI,9/19/13,KC,70%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,KC_PHI,64,10,Fair,5
CIN,9/22/13,GB,49%,0," Cincinnati, Ohio",Paul Brown Stadium,,CIN_GB,67,10,Fair,7
DAL,9/22/13,LA,34%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_LA,79,10,Clear,6
TEN,9/22/13,LAC,39%,0," Nashville, Tennessee",Nissan Stadium,,LAC_TEN,76,10,Fair,7
MIN,9/22/13,CLE,53%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,CLE_MIN,70,10,Fair,16
NE,9/22/13,TB,48%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_TB,72,10,Fair,12
NO,9/22/13,ARI,67%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,ARI_NO,79,10,Mostly Cloudy,10
WAS,9/22/13,DET,45%,0," Landover, Maryland",FedExField,Grass,DET_WAS,71,10,Overcast,11
CAR,9/22/13,NYG,42%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_NYG,77,10,Partly Cloudy,10
BAL,9/22/13,HOU,43%,0," Baltimore, Maryland",M&T Bank Stadium,,BAL_HOU,72,0,Mostly Clear,0
MIA,9/22/13,ATL,72%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,ATL_MIA,85,10,Fair,4
NYJ,9/22/13,BUF,46%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,BUF_NYJ,64,10,Mostly Cloudy,9
SF,9/22/13,IND,64%,0," San Francisco, California",Candlestick Park,Kentucky,IND_SF,64,0,NA,0
SEA,9/22/13,JAX,75%,0," Seattle, Washington",CenturyLink Field,Fieldturf,JAX_SEA,61,10,Mostly Cloudy,15
PIT,9/22/13,CHI,83%,0," Pittsburgh, Pennsylvania",Heinz Field,Desso,CHI_PIT,52,10,Overcast,4
DEN,9/23/13,OAK,31%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_OAK,57,10,Partly Cloudy,15
LA,9/26/13,SF,63%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,LA_SF,71,10,Fair,5
BUF,9/29/13,BAL,48%,0," Orchard Park, New York",New Era Field,A-Turf,BAL_BUF,74,10,Mostly Cloudy,8
CLE,9/29/13,CIN,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CIN_CLE,0,10,Overcast,5
DET,9/29/13,CHI,90%,0," Detroit, Michigan",Ford Field,Fieldturf,CHI_DET,64,6,Fog/Mist,3
KC,9/29/13,NYG,38%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,KC_NYG,73,10,Fair,5
MIN,9/29/13,PIT,73%,0," London, London",Click to see stadium details,Desso,MIN_PIT,60,8,Mostly Cloudy,
TB,9/29/13,ARI,57%,0," Tampa, Florida",Raymond James Stadium,Grass,ARI_TB,84,10,Partly Cloudy,7
JAX,9/29/13,IND,62%,0," Jacksonville, Florida",EverBank Field,,IND_JAX,80,10,Mostly Cloudy,11
HOU,9/29/13,SEA,79%,0," Houston, Texas",NRG Stadium,Grass,HOU_SEA,82,10,Mostly Cloudy,9
TEN,9/29/13,NYJ,76%,0," Nashville, Tennessee",Nissan Stadium,,NYJ_TEN,68,10,Light Rain,4
DEN,9/29/13,PHI,13%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_PHI,73,50,Mostly Cloudy,6
LAC,9/29/13,DAL,24%,0," San Diego, California",Qualcomm Stadium,Grass,DAL_LAC,80,0,NA,6
OAK,9/29/13,WAS,61%,0," Oakland, California",Oakland Coliseum,Bluegrass,OAK_WAS,72,10,A Few Clouds,5
ATL,9/29/13,NE,90%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_NE,61,10,Fair,0
NO,9/30/13,MIA,91%,0," New Orleans, Louisiana",Mercedes-Benz Superdome,Fieldturf,MIA_NO,76,10,Overcast,4
CLE,10/3/13,BUF,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,BUF_CLE,63,10,Light Rain,8
CHI,10/6/13,NO,52%,0," Chicago, Illinois",Soldier Field,Grass,CHI_NO,61,10,Mostly Cloudy,12
CIN,10/6/13,NE,82%,0," Cincinnati, Ohio",Paul Brown Stadium,,CIN_NE,74,10,Mostly Cloudy,16
LA,10/6/13,JAX,51%,0," St. Louis, Missouri",Edward Jones Dome,Fieldturf,JAX_LA,57,10,Mostly Cloudy,13
MIA,10/6/13,BAL,57%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,BAL_MIA,87,10,A Few Clouds,6
NYG,10/6/13,PHI,87%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYG_PHI,69,4,Fog/Mist,9
GB,10/6/13,DET,46%,0," Green Bay, Wisconsin",Lambeau Field,Desso,DET_GB,61,10,Fair,12
TEN,10/6/13,KC,93%,0," Nashville, Tennessee",Nissan Stadium,,KC_TEN,63,9,Light Rain,6
IND,10/6/13,SEA,84%,0," Indianapolis, Indiana",Lucas Oil Stadium,Fieldturf,IND_SEA,56,10,Overcast,9
ARI,10/6/13,CAR,26%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_CAR,90,20,Fair,0
DAL,10/6/13,DEN,15%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_DEN,75,10,Clear,7
SF,10/6/13,HOU,15%,0," San Francisco, California",Candlestick Park,Kentucky,HOU_SF,73,0,A Few Clouds,0
OAK,10/6/13,LAC,35%,0," Oakland, California",Oakland Coliseum,Bluegrass,LAC_OAK,63,10,Partly Cloudy,0
ATL,10/7/13,NYJ,72%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_NYJ,59,10,Fair,0
CHI,10/10/13,NYG,73%,0," Chicago, Illinois",Soldier Field,Grass,CHI_NYG,63,10,Fair,6
BUF,10/13/13,CIN,70%,0," Orchard Park, New York",New Era Field,A-Turf,BUF_CIN,68,10,Overcast,5
CLE,10/13/13,DET,0%,0," Cleveland, Ohio",Cleveland Municipal Stadium,Grass,CLE_DET,67,10,Overcast,8
KC,10/13/13,OAK,28%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,KC_OAK,70,10,Fair,11
MIN,10/13/13,CAR,38%,0," Minneapolis, Minnesota",Hubert H. Humphrey Metrodome,Fieldturf,CAR_MIN,58,10,Mostly Cloudy,5
TB,10/13/13,PHI,40%,0," Tampa, Florida",Raymond James Stadium,Grass,PHI_TB,84,10,Mostly Cloudy,4
BAL,10/13/13,GB,61%,0," Baltimore, Maryland",M&T Bank Stadium,,BAL_GB,68,0,Areas Drizzle,0
HOU,10/13/13,LA,88%,0," Houston, Texas",NRG Stadium,Grass,HOU_LA,76,10,Overcast,5
NYJ,10/13/13,PIT,56%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NYJ_PIT,65,10,Fair,10
DEN,10/13/13,JAX,48%,0," Denver, Colorado",Sports Authority Field at Mile High,Grass,DEN_JAX,59,15,Partly Cloudy with Haze,4
SEA,10/13/13,TEN,64%,0," Seattle, Washington",CenturyLink Field,Fieldturf,SEA_TEN,57,10,Partly Cloudy,3
NE,10/13/13,NO,86%,0," Foxborough, Massachusetts",Gillette Stadium,Fieldturf,NE_NO,47,10,Fair,0
SF,10/13/13,ARI,44%,0," San Francisco, California",Candlestick Park,Kentucky,ARI_SF,67,0,Clear,0
DAL,10/13/13,WAS,78%,0," Arlington, Texas",AT&T Stadium,RealGrass,DAL_WAS,72,10,Fair,6
LAC,10/14/13,IND,85%,0," San Diego, California",Qualcomm Stadium,Grass,IND_LAC,65,0,NA,3
ARI,10/17/13,SEA,19%,0," Glendale, Arizona",University of Phoenix Stadium,Grass,ARI_SEA,73,20,Fair,5
ATL,10/20/13,TB,32%,0," Atlanta, Georgia",Georgia Dome,Fieldturf,ATL_TB,67,10,Fair,0
DET,10/20/13,CIN,57%,0," Detroit, Michigan",Ford Field,Fieldturf,CIN_DET,54,10,Mostly Cloudy,8
KC,10/20/13,HOU,35%,0," Kansas City, Missouri",Arrowhead Stadium,Grass,HOU_KC,70,10,Fair,10
MIA,10/20/13,BUF,67%,0," Miami Gardens, Florida",Hard Rock Stadium,Grass,BUF_MIA,87,10,Mostly Cloudy,11
NYJ,10/20/13,NE,31%,0," Rutherford, New Jersey",MetLife Stadium,Fieldturf,NE_NYJ,65,10,Fair,12
PHI,10/20/13,DAL,32%,0," Philadelphia, Pennsylvania",Lincoln Financial Field,Desso,DAL_PHI,62,10,A Few Clouds,12
WAS,10/20/13,CHI,36%,0," Landover, Maryland",FedExField,Grass,CHI_WAS,62,10,Fair,8
CAR,10/20/13,LA,38%,0," Charlotte, North Carolina",Bank of America Stadium,Grass,CAR_LA,64,10,Partly Cloudy,0
